Program,date,Currency,Estimated cost to develop,Payroll development cost,Total life cycle cost,Annual maintenance & operational costs,Maintenance & operational costs,Monies spent to date,Total committed spending,Estimated schedule,Headline,Notes,url,extrapolated,extra label
U.S. Air Force’s Expeditionary Combat Support System,2004-01-01T00:00:00Z,US $,1.80E+09,,3.00E+09,,1.20E+09,0,,2013-01-01T00:00:00Z,ECSS Program Officially Starts,"The <a href=""http://spectrum.ieee.org/riskfactor/aerospace/military/us-air-force-blows-1-billion-on-failed-erp-project"">U.S. Air Force’s Expeditionary Combat Support System</a> (ECSS) is supposed to be a single integrated enterprise resource planning system built using commercial off-the-shelf software, aimed at modernizing the service’s global supply chain.

The original <a href=""http://www.gao.gov/new.items/d08866.pdf"">estimated life cycle cost</a> of ECSS is put at US $3 billion, with about $1.8 billion allocated to development and $1.2 billion for operations and maintenance. The plan is to fully deploy the system by 2012.

After some early replanning exercises to reduce program risk, the project has a “new start” in May 2005.

(Note: No one has an authoritative set of financials on ECSS. That was made clear in the U.S. Senate investigation report, which expressed frustration and outrage that the Air Force couldn’t tell it what was spent on what, when it was spent, nor even what ECSS had planned to spend over time. Various reports have conflicting data on estimated and spent costs.)",GAO-08-866 Air Force Asset Visibility http://www.gao.gov/new.items/d08866.pdf; GAO-13-311 Defense Major Automated Information Systems www.gao.gov/products/GAO-13-311,,
U.S. Air Force’s Expeditionary Combat Support System,2006-09-11T00:00:00Z,US $,1.80E+09,,3.00E+09,,1.20E+09,6.50E+07,,2013-01-01T00:00:00Z,Major Contract Awarded,"Computer Sciences Corp. is awarded one of the largest contracts: US $628 million to provide technical and business transformation services. In early 2006, the U.S. Air Force also pays Oracle $90 million to license the software that the system is to be built with.

The intended capabilities of ECSS are still a bit of a mystery. At this time, the Air Force, in two conflicting statements, says that ECSS is going to both replace “more than 400 legacy systems” as well as “over 700 legacy systems.”",Expeditionary Combat Support System: Root Cause Analysis (See Figure 3) www.acq.osd.mil/parca/docs/2011-ida-rca-ecss-p-4732.pdf,,
U.S. Air Force’s Expeditionary Combat Support System,2007-09-01T00:00:00Z,US $,1.80E+09,,3.00E+09,,1.20E+09,1.95E+08,,2013-01-01T00:00:00Z,Finances Get Murky,"The 2008 Government Accountability Office report says that the total life cycle cost of ECSS is still US $3 billion. At the same time, the report also notes that the U.S. Air Force acknowledges that the program is going to overrun that amount, because functionality that was supposed to go into the Defense Enterprise Accounting and Management System (DEAMS) project is now to be merged into ECSS. The number of legacy systems that are going to be replaced starts to drop, with 250 being the number bandied about (although “more than 400 legacy systems” continues to appear in Air Force literature).

The DEAMS project, beginning in 2003, aimed to replace nine Air Force legacy accounting systems at an estimated life cycle cost of $420 million by October 2009. It is now scheduled to be completed in April 2017 at a projected life cycle cost of $2.2 billion.",Expeditionary Combat Support System: Root Cause Analysis (See Figure 3) www.acq.osd.mil/parca/docs/2011-ida-rca-ecss-p-4732.pdf,,
U.S. Air Force’s Expeditionary Combat Support System,2009-12-31T00:00:00Z,US $,3.40E+09,,5.20E+09,,1.80E+09,5.19E+08,,2016-04-01T00:00:00Z,Reality Check,"The <a href=""http://www.gao.gov/new.items/d1153.pdf"">cost of ECSS has jumped</a> to US $3.4 billion for development, while operations and maintenance stay at about $1.8 billion, and full deployment is slated for 2016 at the earliest.

The first piloted release of ECSS has problems with data quality, data conversion, interoperability and integration, usability, information assurance, and requirements testability. As a result, managers decide to restructure not only how the ECSS program is being run but also the system itself. Their aim is to improve data quality, update the Oracle software to be used, and increase the number of releases from three to four.",GAO-11-53 DOD Business Systems http://www.gao.gov/new.items/d1153.pdf,,
U.S. Air Force’s Expeditionary Combat Support System,2011-09-30T00:00:00Z,US $,3.40E+09,,5.20E+09,,1.80E+09,8.76E+08,,2018-09-01T00:00:00Z,Program Reassessed,"In late 2011, the U.S. Air Force and the Office of the Secretary of Defense both conduct reviews of the program and agree that the “development and implementation of ECSS had lagged.”

Spending on the project is now US $876 million, with another $110 million worth of outstanding contract obligations.

Now the Air Force says that ECSS will replace 240 legacy systems.",GAO-12-134 DOD Financial Management www.gao.gov/assets/590/588902.pdf,,
U.S. Air Force’s Expeditionary Combat Support System,2012-09-01T00:00:00Z,US $,8.00E+09,,1.00E+10,,,1.03E+09,,2020-09-01T00:00:00Z,Program Canceled,"With ECSS spinning out of control, it is officially canceled at a cost of around US $1.1 billion. The U.S. Air Force admits that it would cost another $1 billion to get just 25 percent of the system’s planned capability.

<a href=""http://www.acq.osd.mil/parca/docs/2011-ida-rca-ecss-p-4732.pdf"">More than $5 billion [PDF]</a> in lost opportunity costs have been incurred as of 2015, and it is likely that at least another $7 billion will be incurred if a replacement is not in place by 2017.

At the present time, an <a href=""http://archive.federaltimes.com/article/20140117/MGMT/301170009/Air-Force-tries-again-logistics-modernization"">ECSS replacement is being planned</a>, but the Air Force isn’t saying how much it will cost, how legacy systems will be replaced, and when it is expected to be operational, although it is promising it will <a href=""http://blogs.wsj.com/cio/2013/02/05/air-force-hopes-it-overhaul-takes-wing/"">cost less</a> than ECSS.

Why did ECSS fail? Three publicly available reports (from <a href=""http://www.acq.osd.mil/parca/docs/2011-ida-rca-ecss-p-4732.pdf"">IDA</a> [PDF], <a href=""http://www.acq.osd.mil/parca/docs/2013-08-28-parca-rca-ecss.pdf"">the Air Force</a> [PDF], and <a href=""http://www.hsgac.senate.gov/download/report_-air-forces-expeditionary-combat-support-system-ecss-program"">the Senate</a> [PDF]) provide a host of reasons, but management incompetence coupled with excessive hubris and a desire not to hear negative news probably captures 95 percent of it. While promising to learn the lessons from previous similar large-scale IT failures, Air Force management not only studiously ignored them but seemed to willfully defy them.

So who is being held accountable for ECSS’s demise? No one, as it turns out. The Air Force’s senior leadership has made it crystal clear that firing or demoting anyone for blowing $1 billion on an absolutely useless IT system is “<a href=""http://archive.defensenews.com/article/20121203/C4ISR01/312030011/How-USAF-Blew-1B-Logistics-System"">not necessary</a>.”",GAO-13-311 Defense Major Automated Information Systems www.gao.gov/products/GAO-13-311,yes,
North Carolina’s NCTracks,2008-12-01T00:00:00Z,US $,9.27E+07,,2.87E+08,,,,,2011-08-22T00:00:00Z,NCTracks Contract Starts,"North Carolina awards the first contract to Computer Sciences Corp. (CSC) for a new Medicaid claims processing and management system called NCTracks. It is the state’s second try, after spending US $30 million on an earlier attempt.",,,
North Carolina’s NCTracks,2011-07-01T00:00:00Z,US $,2.30E+08,,4.84E+08,,,,,2013-02-28T00:00:00Z,"Project Rescoped, and Schedule Slips","According to the state auditor, in July 2010 the vendor, CSC, “notified the Department that it would not be able to meet the established go-live date and requested an extension. After lengthy negotiations, the Department approved a contract amendment in July 2011 that granted an 18–22 month extension to build the system, increased the total contract price from US $265 million to $484 million, and extended the operational contract an additional two years to 2020.”",,,
North Carolina’s NCTracks,2012-12-01T00:00:00Z,US $,2.30E+08,,4.84E+08,,,,,2013-07-01T00:00:00Z,Increased Delays,The system is delayed to accommodate legislative and regulatory mandates.,,,
North Carolina’s NCTracks,2013-07-01T00:00:00Z,US $,,,,,,2.30E+08,,2013-07-01T00:00:00Z,Premature Launch,"The system goes live 1 July 2013 and experiences major problems. While it is being developed, North Carolina spends at least US $36 million (net) to keep its legacy benefits system going because of the delay.

Medicaid certification is expected for summer 2014, but that doesn’t happen until March 2015 because of extensive bugs in the system. NCTracks really can’t be considered “fixed” until March 2015, which is when it receives federal certification.",,,
