date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,Project,Companies,Theme
2006-10-01,6080991202,Airbus Blames Design Software Incompatibility for Airbus A380 Two Year Delay,The delay is responsible for €4.8 billion in lost earnings up to 2010.,,,,,,,4800000000,€,EUR,Europe,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.bloomberg.com/bw/stories/2006-10-04/airbus-first-blame-the-software; http://www.spiegel.de/international/airbus-debacle-worsens-new-a380-delays-to-cost-billions-a-440642.html,,,project problems
2007-09-01,1009515695,UK Rural Payments Project Delays,The delay costs taxpayers £500 Million.,,,,,,,5.0E8,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Labor,,http://spectrum.ieee.org/riskfactor/computing/it/a_masterclass_in_bad_decisionm,,,project problems
2009-01-01,4521112135,UK MoD Defense Information System £3.1 Billion Over Budget,"The original cost was £4 Billion, but the cost is now estimated to be £7.1 Billion.",,,,,,,3.1E9,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/uk_71bn_mod_it_project_running,,EDS,project problems
2009-09-01,34000000,"Wisconsin's Accountability, Consolidation, and Efficiency IT Project  Major Fiasco",Integrated Business Information System project costs grow from $150 Million to at least $184 Million.,,,,,,,34000000,$,USD,US,The Americas,Operational Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/wisconsins-accountability-consolidation-and-efficiency-initiative-it-projects-overrun-a-bit; http://wtnnews.com/articles/4684/; http://www.jsonline.com/news/statepolitics/after-troubled-launch-state-revives-massive-computer-overhaul-b99259892z1-257887491.html,,Oracle,project problems
2011-09-01,375000000,OMB Halts National Archives and Records Administration’s (NARA) $567 Million Electronic Records Archive (ERA) Project Development,The system operates with minimum functionality despite $375 Million spent.,,,,,,,375000000,$,USD,US,The Americas,Project Failure,Government,National,Information Technology,,http://www.federalnewsradio.com/697/2204570/NARA-to-suspend-development-of-ERA-starting-in-2012;http://federalnewsradio.com/in-depth/2011/10/nara-hires-ibm-to-move-records-system-into-next-phase/,,,project problems
2014-08-01,,LA Unified School District Court Mandated Student Educational Tracking System Flops,Thousands of students are without course schedules.,,,2,weeks,336,6500,,,,US,The Americas,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/la-school-district-continues-suffering-misis-misery,,,project problems
2015-02-01,6.8E7,California's $96 million Business Licensing System in Trouble,"The system went live in 2013, but only 1/3 of the state boards and commissions online as promised. The original estimate was $28 million, but now it's at least $96 million for just 1/2 of the state boards.",,,,,,,6.8E7,$,USD,US,The Americas,Operational Failure,Government,State/Local,Commerce and Communications,,http://www.sacbee.com/news/politics-government/the-state-worker/article11272109.html; http://www.sacbee.com/news/politics-government/the-state-worker/article9918857.html; http://www.sacbee.com/news/politics-government/the-state-worker/article16486190.html; https://www.bsa.ca.gov/pdfs/factsheets/2014-116.pdf,,,project problems
2005-05-01,,Software bug causes 2004-2005 Toyota Prius to stall,"20,000 cars recalled",20000,,,,,,,,,US,The Americas,Operational Failure,Commercial,,,Auto and Land Transport,http://articles.latimes.com/2005/may/18/business/fi-cars18,,Toyota,cars
2009-11-01,2.5E8,Toyota Offers to Fix Gas Pedals and Software to Stop Runaway Cars,Toyota addresses the root cause of the potential risk for floor mat entrapment of accelerator pedals in certain Toyota and Lexus models.,3800000.0,4,,,,,2.5E8,$,USD,US,The Americas,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/toyota-will-offer-to-fix-gas-pedals-and-software-in-its-cars-to-stop-runaways; http://spectrum.ieee.org/riskfactor/computing/it/toyota-will-offer-to-fix-gas-pedals-on-cars-involved-in-recall; http://spectrum.ieee.org/riskfactor/computing/it/how-hard-should-it-be-to-stop-a-runaway-car,,Toyota,cars
2010-08-01,,Honda Updates Software on 2006-2008 Civic Hybrids to Extend Failing Batteries,"Batteries were degrading prematurely, affecting 100,000 Civics.",,,,,,100000,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/advanced-cars/software-fix-extends-failing-batteries-in-20062008-honda-civic-hybrids-is-cost-acceptable; http://www.hybridcars.com/civic-hybrid-owners-disappointed-battery-software-fix-28450/,,,cars
