Program,date,Currency,Estimated Cost to Develop,Total Life Cycle Cost,Annual Maintenance & Operational Costs,Monies Spent to Date,Estimated Schedule,Notes
US Air Force's Expeditionary Combat Support System,2005-05-01T00:00:00Z,US$,1.80E+09,3.00E+09,,0,2013-01-01T00:00:00Z,Program Start
US Air Force's Expeditionary Combat Support System,2006-10-01T00:00:00Z,US$,1.80E+09,3.00E+09,,6.50E+07,2013-01-01T00:00:00Z,CSC Awarded $628 million contract
US Air Force's Expeditionary Combat Support System,2007-11-01T00:00:00Z,US$,1.80E+09,3.00E+09,,1.95E+08,2013-01-01T00:00:00Z, 
US Air Force's Expeditionary Combat Support System,2009-12-01T00:00:00Z,US$,3.40E+09,5.20E+09,,5.19E+08,2016-04-01T00:00:00Z,Added functionality
US Air Force's Expeditionary Combat Support System,2011-11-01T00:00:00Z,US$,3.40E+09,5.20E+09,,8.76E+08,2018-09-01T00:00:00Z,Program being reassessed
US Air Force's Expeditionary Combat Support System,2012-11-01T00:00:00Z,US$,8.00E+09,1.00E+10,,1.03E+09,2020-09-01T00:00:00Z,Program terminated after it was determined that it would cost $2.2 billion in development to get maybe 25% functionality; about $750 million in lost projected benefits to date
North Carolina's NCTracks,2008-12-01T00:00:00Z,US$,9.27E+07,2.87E+08,,,2011-08-22T00:00:00Z,"Contract Start for North Carolina’s new Medicaid claims processing and management systemNCTracks. It is the second attempt, after spending $30 million on an earlier attempt."
North Carolina's NCTracks,2011-07-01T00:00:00Z,US$,2.30E+08,4.84E+08,,,2013-02-28T00:00:00Z,"Project is rescoped, scheduled slipped."
North Carolina's NCTracks,2012-12-01T00:00:00Z,US$,2.30E+08,4.84E+08,,,2013-07-01T00:00:00Z,"North Carolina spent at least $36 million (net)  to keep legacy system going because of the delay; Medicaid certification expected summer 2014, didn't happen until March 2015 because of extensive bugs in system."
California's disability insurance automation upgrade,2006-01-01T00:00:00Z,US$,,3.50E+07,3200000,,2009-06-01T00:00:00Z,The DIA project was aimed to automate a number of manual work processes involved when filing for a disability insurance claim.
California's disability insurance automation upgrade,2007-11-01T00:00:00Z,US$,,3.30E+07,3700000,,2011-05-01T00:00:00Z,Procurement issues cause schedule slip but project cost reduced.
California's disability insurance automation upgrade,2009-11-01T00:00:00Z,US$,5.20E+07,1.19E+08,6900000,,2013-01-01T00:00:00Z,"EDD recognized that it had underestimated complexity and effort required to create system, so project is rescoped. Deloitte paid $52 million to build system.Development now begins in earnest."
California's disability insurance automation upgrade,2011-11-01T00:00:00Z,US$,5.90E+07,1.58E+08,8800000,,2013-06-01T00:00:00Z,Project scope changes increase life cycle costs and schedule. Development costs climb another $7 million.
California's disability insurance automation upgrade,2012-11-01T00:00:00Z,US$,5.90E+07,1.58E+08,8800000,,2012-11-01T00:00:00Z,"Launched ""ahead"" of Schedule"
California's Unemployment Insurance Modernization,2003-10-01T00:00:00Z,US$,3.80E+07,,,,2006-11-01T00:00:00Z,"Califonia's Employment Development Department originally planned two system developments: the Call Center Network Platform and Application Upgrade
(CCNPAU), meant to TK, and the Continued Claims Redesign (CCR), intended to TK. The first of these was targeted for completion in 2006."
California's Unemployment Insurance Modernization,2003-10-01T00:00:00Z,US$,5.80E+07,,,,2008-06-01T00:00:00Z,"Califonia's Employment Development Department originally planned two system developments: the Call Center Network Platform and Application Upgrade
(CCNPAU), meant to TK, and the Continued Claims Redesign (CCR), intended to TK. The second had a larger budget and timeline."
California's Unemployment Insurance Modernization,2006-05-01T00:00:00Z,US$,4.80E+07,,,,2010-04-01T00:00:00Z,"Three years later, just a few months ahead of CCNPAU's original completion date, both projects were merged into one. Both projects still maintained separate schedules. CCNPAU completion was pushed back four years (longer than the initial scheduled development time."
California's Unemployment Insurance Modernization,2006-05-01T00:00:00Z,US$,6.50E+07,,,,2011-09-01T00:00:00Z,"Three years later, just a few months ahead of CCNPAU's original completion date, both projects were merged into one. Both projects still maintained separate schedules. CCR also got an increased estimate and delayed launch date."
California's Unemployment Insurance Modernization,2007-08-01T00:00:00Z,US$,5.60E+07,,,,2009-09-01T00:00:00Z,"A year later, due to changes in procurement, the cost of CCNPAU had risen yet again, but the timeline was reduced."
California's Unemployment Insurance Modernization,2007-08-01T00:00:00Z,US$,7.10E+07,,,,2012-06-01T00:00:00Z,"A year later, due to changes in procurement, the cost of CCNPAU had risen yet again, but the timeline was reduced. Meanwhile, CCR costs and delays continued to mount."
California's Unemployment Insurance Modernization,2009-09-01T00:00:00Z,US$,7.10E+07,,,,2011-01-01T00:00:00Z,"Another two years into the project, CCNPAU costs and delays were growing again."
