date,Impact - USD,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Region,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,sumtext,Project,Companies,Theme,tags
2006-10-01T07:00:00Z,6080991202,Airbus Blames Design Software Incompatibility for Airbus A380 Two Year Delay,The delay is responsible for €4.8 billion in lost earnings up to 2010.,,,,,,,4800000000,€,EUR,Europe,"Europe, Middle East, and Africa",Operational Failure,Commercial,,,Air Transport,http://www.bloomberg.com/bw/stories/2006-10-04/airbus-first-blame-the-software; http://www.spiegel.de/international/airbus-debacle-worsens-new-a380-delays-to-cost-billions-a-440642.html,"In announcing the latest A380 delays, Airbus said, ""The root cause of the problem is that the 3D digital mockup, which facilitates the design of the electrical harnesses' installation, was implemented late and that the people working on it were in their learning curve.""

Airbus CEO Christian Steiff said the delay was caused by problems with the installation of wiringon the planes.",,,project problems,"Europe,Operational Failure,Commercial,,,Air Transport,€,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-09-01T07:00:00Z,1009515695,UK Rural Payments Project Delayed,The delay costs taxpayers £500 million.,,,,,,,5.0E8,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Labor,,http://spectrum.ieee.org/riskfactor/computing/it/a_masterclass_in_bad_decisionm,,,,project problems,"UK,Operational Failure,Government,National,Labor,,£,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-01-01T07:00:00Z,1750107923,UK MoD Defense Information System £1.2 Billion Over Budget,"The original cost was £5.9 billion, but the cost is now estimated to be £7.1 billion.",,,,,,,1.2E9,£,GBP,UK,"Europe, Middle East, and Africa",Project Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/uk_71bn_mod_it_project_running; http://www.nao.org.uk/report/ministry-of-defence-the-defence-information-infrastructure/; http://www.computerweekly.com/blogs/public-sector/2008/07/it-defence.html; http://enterprisetimes.co.uk/2015/08/04/atlas-consortium-wins-mod-dii-contract/,,,EDS,project problems,"UK,Operational Failure,Government,National,Defense and Veterans Affairs,,£,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-09-01T07:00:00Z,34000000,"Wisconsin's Accountability, Consolidation, and Efficiency IT Project  Major Fiasco",Integrated Business Information System project costs grow from $150 million to at least $184 million.,,,,,,,34000000,$,USD,US,The Americas,Operational Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/wisconsins-accountability-consolidation-and-efficiency-initiative-it-projects-overrun-a-bit; http://wtnnews.com/articles/4684/; http://www.jsonline.com/news/statepolitics/after-troubled-launch-state-revives-massive-computer-overhaul-b99259892z1-257887491.html,,,Oracle,project problems,"US,Operational Failure,Government,State/Local,Information Technology,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2011-09-01T07:00:00Z,375000000,Office of Management and Budget Halts National Archives and Records Administration’s (NARA) $567 Million Electronic Records Archive Project Development,The system operates with minimum functionality despite $375 million spent.,,,,,,,375000000,$,USD,US,The Americas,Project Failure,Government,National,Information Technology,,http://www.federalnewsradio.com/697/2204570/NARA-to-suspend-development-of-ERA-starting-in-2012;http://federalnewsradio.com/in-depth/2011/10/nara-hires-ibm-to-move-records-system-into-next-phase/,,,,project problems,"US,Project Failure,Government,National,Information Technology,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-08-01T07:00:00Z,,LA Unified School District Court Mandated Student Educational Tracking System Flops,Thousands of students are without course schedules.,,,2,weeks,336,6500,,,,US,The Americas,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/la-school-district-continues-suffering-misis-misery,,,,project problems,"US,Operational Failure,Government,State/Local,Education,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2015-02-01T07:00:00Z,6.8E7,California's $96 Million Business Licensing System in Trouble,"The system went live in 2013, but with only 1/3 of the state boards and commissions online as promised. The original estimate was $28 million, but now it's at least $96 million for just 1/2 of the state boards.",,,,,,,6.8E7,$,USD,US,The Americas,Operational Failure,Government,State/Local,Commerce and Communications,,http://www.sacbee.com/news/politics-government/the-state-worker/article11272109.html; http://www.sacbee.com/news/politics-government/the-state-worker/article9918857.html; http://www.sacbee.com/news/politics-government/the-state-worker/article16486190.html; https://www.bsa.ca.gov/pdfs/factsheets/2014-116.pdf,,,,project problems,"US,Operational Failure,Government,State/Local,Commerce and Communications,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2005-05-01T07:00:00Z,,Software Bug Causes 2004-2005 Toyota Prius to Stall,"20,000 cars recalled",20000,,,,,,,,,US,The Americas,Operational Failure,Commercial,,,Auto and Land Transport,http://articles.latimes.com/2005/may/18/business/fi-cars18,,,Toyota,cars,"US,Operational Failure,Commercial,,,Auto and Land Transport,,,Toyota,,Impact - Raw,Impact - units recalled"
2009-11-01T07:00:00Z,2.5E8,Toyota Offers to Fix Gas Pedals and Software to Stop Runaway Cars,Toyota addresses the root cause of the potential risk for floor mat entrapment of accelerator pedals in certain Toyota and Lexus models.,3800000,4,,,,,2.5E8,$,USD,US,The Americas,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/computing/it/toyota-will-offer-to-fix-gas-pedals-and-software-in-its-cars-to-stop-runaways; http://spectrum.ieee.org/riskfactor/computing/it/toyota-will-offer-to-fix-gas-pedals-on-cars-involved-in-recall; http://spectrum.ieee.org/riskfactor/computing/it/how-hard-should-it-be-to-stop-a-runaway-car,,,Toyota,cars,"US,Operational Failure,Commercial,,,Auto and Land Transport,$,,Toyota,,Impact - Raw,Impact - Qty,Impact - Currency"
2010-08-01T07:00:00Z,,Honda Updates Software on 2006-2008 Civic Hybrids to Extend Failing Batteries,"Batteries were degrading prematurely, affecting 100,000 Civics.",,,,,,100000,,,,Worldwide,Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,http://spectrum.ieee.org/riskfactor/transportation/advanced-cars/software-fix-extends-failing-batteries-in-20062008-honda-civic-hybrids-is-cost-acceptable; http://www.hybridcars.com/civic-hybrid-owners-disappointed-battery-software-fix-28450/,,,,cars,"Worldwide,Operational Failure,Commercial,,,Auto and Land Transport,,,,,Impact - Raw,Impact - customers affected"
