date,Headline,Impact - Raw,Impact - units recalled,Impact - injured or killed,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected,Impact - Qty,Currency Symbol,Impact - Currency,Country,Failure Type,Organization Type,Government Type,Government Department,Industry Area,url,title,Project,Companies,Theme,tags
2006-10-01T07:00:00Z,Airbus Blames Design Software Incompatibility for Airbus A380 Two Year Delay,€4.8 billion in lost earnings up to 2010,,,,,,,4800000000,€,EUR,Europe,Operational Failure,Commercial,,,Air Transport,http://www.bloomberg.com/bw/stories/2006-10-04/airbus-first-blame-the-software; http://www.spiegel.de/international/airbus-debacle-worsens-new-a380-delays-to-cost-billions-a-440642.html,"Airbus: First, Blame the Software || Airbus Debacle Worsens: New A380 Delays To Cost Billions",,,project problems,"Europe,Operational Failure,Commercial,,,Air Transport,€,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-09-01T07:00:00Z,UK Rural Payments Project Delays Cost Taxpayers £500 Million,£500 Million,,,,,,,5.00E+08,£,GBP,UK,Operational Failure,Government,National,Labor,,http://spectrum.ieee.org/riskfactor/computing/it/a_masterclass_in_bad_decisionm,A Masterclass in Bad Decision-making,,,project problems,"UK,Operational Failure,Government,National,Labor,,£,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2007-11-01T07:00:00Z,Australian Super Seasprite Helo Electronic Upgrade Now 9 Years Late,Original cost of AU$745 Million; the cost to complete is now estimated to range around AU$1.5 Billion,,,,,,,7.45E+08,$,AUD,Australia,Operational Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/australian_super_seasprite_sof,Australian Super Seasprite Software Problems,,,project problems,"Australia,Operational Failure,Government,National,Defense and Veterans Affairs,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2008-01-01T07:00:00Z,US Army Future Combat System Grows from 33.7 Million Lines of Code to 63.8 Million,$200 Billion total system cost estimate,,,,,,,,$,USD,US,Operational Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/future_comabt_systems_did_the,"Future Combat Systems: Did the Code Size Double, or Did Somebody Disassemble?",,,project problems,"US,Operational Failure,Government,National,Defense and Veterans Affairs,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-01-01T07:00:00Z,UK MoD Defense Information System £3.1 Billion Over Budget,"Original cost was £4 Billion, now estimated to be £7.1 Billion",,,,,,,7.10E+09,£,GBP,UK,Operational Failure,Government,National,Defense and Veterans Affairs,,http://spectrum.ieee.org/riskfactor/computing/it/uk_71bn_mod_it_project_running,UK Â£7.1bn MoD IT Project Running Late and Over Estimates,,,project problems,"UK,Operational Failure,Government,National,Defense and Veterans Affairs,,£,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-09-01T07:00:00Z,"Wisconsin's Accountability, Consolidation and Efficiency IT Project  Major Fiasco",Project costs grow from $15 Million to at least $104 Million.,,,,,,,15000000,$,USD,US,Operational Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/wisconsins-accountability-consolidation-and-efficiency-initiative-it-projects-overrun-a-bit,"Wisconsin's Accountability, Consolidation, and Efficiency Initiative's IT Projects Overrun A Bit",,,project problems,"US,Operational Failure,Government,State/Local,Information Technology,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2009-10-01T07:00:00Z,Virginia's $2 Billion Outsourcing Contract in Chaos,Numerous state IT operations fall over,,,140,hours,140,,,,,US,Operational Failure,Government,State/Local,Information Technology,,http://spectrum.ieee.org/riskfactor/computing/it/virginias-2-billion-outsourced-it-contract-in-shambles,Virginia's $2 Billion Outsourced IT Contract in Shambles,,,project problems,"US,Operational Failure,Government,State/Local,Information Technology,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours"
2011-09-01T07:00:00Z,OMB Halts National Archives and Records Administration’s (NARA) $567 Million Electronic Records Archive (ERA) Project Development,"System operates with minimum functionality and little more, $375 Million spent",,,,,,,375000000,$,USD,US,Project Failure,Government,National,Information Technology,,http://www.federalnewsradio.com/697/2204570/NARA-to-suspend-development-of-ERA-starting-in-2012,NARA to suspend development of ERA starting in 2012,,,project problems,"US,Project Failure,Government,National,Information Technology,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2014-08-01T07:00:00Z,LA Unified School District Court Mandated Student Educational Tracking System Flops,Thousands of students without course schedules,,,2,weeks,336,6500,,,,US,Operational Failure,Government,State/Local,Education,,http://spectrum.ieee.org/riskfactor/computing/it/la-school-district-continues-suffering-misis-misery,LA School District Continues Suffering MiSiS Misery,,,project problems,"US,Operational Failure,Government,State/Local,Education,,,,,,Impact - Raw,Impact - duration,Impact - duration unit,Impact - hours,Impact - customers affected"
2014-09-01T07:00:00Z,UN Umoja Project Costs Climb Again,Cost climbs $24 Million from last year to $378 Million,,,,,,,378000000,$,USD,UN,Operational Failure,Other,,,,http://www.foxnews.com/world/2014/09/17/as-un-general-assembly-session-opens-botched-computer-project-engulfs/,"As UN General Assembly session opens, botched computer project engulfs peacekeeping operations",,,project problems,"UN,Operational Failure,Other,,,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
2015-02-01T07:00:00Z,California's $96 million Business Licensing System in Trouble,"System went live in 2013, but only 1/3 number of state boards and commissions online as promised. Original estimate was $28 million, then it went to $78 million. However, another $17.5 million was approved for the project in April, bringing the total  $95.5 million. The estimated overrun will be at least $78 million.",,,,,,,7.80E+07,$,USD,US,Operational Failure,Government,State/Local,Commerce and Communications,,http://www.sacbee.com/news/politics-government/the-state-worker/article11272109.html; http://www.sacbee.com/news/politics-government/the-state-worker/article9918857.html; http://www.sacbee.com/news/politics-government/the-state-worker/article16486190.html ,"Leno: More info before more cash for flawed California IT project || $96 million California IT project late, flawed, busting budget || California lawmakers OK another $17.5 million for troubled tech project || ",,,project problems,"US,Operational Failure,Government,State/Local,Commerce and Communications,,$,,,,Impact - Raw,Impact - Qty,Impact - Currency"
